Dzielnica,Metraż,Pokoje,Piętro,Cena
Bielany,54.99,2,2,935000.0
Wola,68.0,2,2,1926434.0
Targówek,59.69,3,2,918000.0
Targówek,38.49,2,2,636000.0
Włochy,23.0,1,2,460000.0
Śródmieście,20.0,1,2,409000.0
Praga-Południe,72.1,3,2,70.0
Praga-Południe,58.96,3,2,1100000.0
Bielany,45.89,3,2,897000.0
Bielany,48.0,3,2,829000.0
Praga-Południe,70.1,3,2,840000.0
Białołęka,85.0,4,2,10989.0
Praga-Południe,43.5,2,2,799000.0
Białołęka,75.27,4,2,843024.0
Białołęka,76.62,4,2,804510.0
Białołęka,65.52,3,2,786240.0
Białołęka,40.01,2,2,600150.0
Targówek,27.0,1,2,420000.0
Białołęka,76.37,4,2,801885.0
Białołęka,40.03,2,2,630000.0
Białołęka,40.1,2,2,557760.0
Białołęka,45.0,2,2,695000.0
Śródmieście,274.03,5,2,12900000.0
Wilanów,235.32,5,2,5647680.0
Praga-Południe,152.08,4,2,5200000.0
Włochy,34.23,1,2,619563.0
Mokotów,62.0,2,2,1440000.0
Śródmieście,65.0,2,2,3900000.0
Mokotów,53.0,4,2,925000.0
Ochota,117.9,4,2,3499000.0
Białołęka,31.0,1,2,505000.0
Mokotów,114.0,4,2,2480000.0
Wola,153.7,4,2,2100000.0
Wola,55.0,3,2,1690000.0
Inna,115.0,4,2,1119000.0
Wola,67.84,3,2,1390720.0
Mokotów,76.84,3,2,1649000.0
Śródmieście,50.0,2,2,1175000.0
Bemowo,40.0,2,2,629000.0
Śródmieście,34.42,2,2,822638.0
Bielany,45.89,3,2,897000.0
Śródmieście,50.9,2,2,979000.0
Bemowo,49.32,3,2,902556.0
Bielany,54.6,2,2,1050000.0
Wola,30.0,2,2,479000.0
Wola,23.0,1,2,520000.0
Ursynów,100.86,3,2,1490000.0
Ursynów,56.5,3,2,1015000.0
Mokotów,85.24,5,2,1342530.0
Ochota,50.5,2,2,920000.0
Bemowo,68.5,3,2,1199000.0
Ursus,31.5,2,2,660000.0
Mokotów,52.16,2,2,830000.0
Mokotów,325.0,6,2,9900000.0
Praga-Północ,174.0,5,2,18200.0
Śródmieście,20.0,1,2,599000.0
Białołęka,37.3,1,2,560000.0
Wola,44.5,2,2,1199000.0
Ochota,38.0,2,2,780000.0
Włochy,24.0,1,2,420000.0
Wola,52.0,2,2,1490000.0
Białołęka,45.0,2,2,599000.0
Bemowo,61.2,3,2,1016300.0
Praga-Południe,47.8,2,2,965560.0
Ursus,45.12,2,2,685824.0
Ursus,43.0,2,2,664500.0
Wilanów,71.77,3,2,1643533.0
Ursus,50.0,3,2,747086.0
Targówek,54.12,2,2,1100000.0
Mokotów,45.2,2,2,949000.0
Mokotów,31.0,1,2,480000.0
Śródmieście,50.9,2,2,979000.0
Białołęka,31.76,1,2,555000.0
Praga-Południe,50.7,2,2,699000.0
Białołęka,40.0,3,2,565000.0
Ursus,50.0,3,2,747000.0
Białołęka,136.0,6,2,1770000.0
Wola,37.0,2,2,1099000.0
Wilanów,165.0,6,2,3460000.0
Białołęka,47.0,2,2,670000.0
Targówek,32.4,1,2,534600.0
Bielany,53.33,2,2,750000.0
Ursus,46.0,2,2,650000.0
Targówek,53.0,3,2,600000.0
Bemowo,60.6,2,2,950000.0
Wawer,140.0,5,2,10800.0
Wawer,107.59,4,2,1270000.0
Wilanów,101.0,3,2,1999000.0
Wawer,124.77,5,2,1350000.0
Wola,57.18,1,2,3000000.0
Wola,48.9,2,2,789000.0
Ursus,42.5,2,2,663250.0
Wawer,124.77,5,2,1350000.0
Wola,106.0,5,2,18456.0
